accession_id,len,set,diam,watermelon_mosaic,cuc_mosaic,maturity,unif,pm,plant_habit,vig,or_flesh,rib,fruit_spot,gray_fruit,or_fruit,gn_fruit
PI_482479,18,8,20,7,NA,39,4,3,1,7,0,7,5,1,0,0
PI_482482,12,5,27,9,1,42,8,1,1,7,0,9,2,0,0,0
PI_482483,11,4,22,9,NA,47,8,NA,1,7,0,9,2,0,0,0
PI_482485,19,2,12,7,NA,NA,7,3,1,8,0,3,4,0,0,1
PI_482523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
PI_490350,NA,1,NA,3,NA,84,8,1,1,5,NA,NA,NA,NA,NA,NA
PI_490352,22,6,21,3,NA,55,8,6,1,7,0,1,2,0,0,1
PI_490353,15,6,13,2,NA,53,8,6,1,6,0,2,2,0,0,0
PI_494827,15,NA,14,7,NA,NA,7,1,1,7,0,3,3,0,0,1
PI_494830,12,1,16,6,NA,64,7,5,1,8,1,4,6,NA,NA,NA
PI_494831,21,1,26,7,NA,68,7,1,1,8,0,4,4,1,0,0
PI_494834,18,NA,16,5,NA,NA,5,3,1,7,0,2,5,0,0,1
PI_494835,22,NA,19,7,NA,64,8,2,1,8,0,5,2,NA,NA,NA
PI_494839,17,1,17,7,NA,68,5,2,1,6,0,2,3,0,0,1
PI_494840,13,2,16,5,NA,72,5,2,1,6,0,2,1,NA,NA,NA
PI_494841,14,2,22,6,NA,66,8,2,1,7,1,3,NA,0,0,1
PI_494843,16,1,22,7,NA,68,7,2,1,7,1,2,7,0,0,1
