accession_id	country	accession_name	taxonomy	narrative	cultivar_class	improvement_status	region	1	2	3	4	5	6	7	8	9	10	grp	pos
PI_442306	Mexico	Calabaza de India	Cucurbita pepo	Fruits smooth, greenish, dark green stripes,  yellow at maturity, round-oblong, 19cm long, 17cm diam. Rind 2mm. Placenta solid. Flesh orange-yellow.	NA	Landrace	South/Latin America	0.021598	0.852702	1e-5	0.065702	1e-5	0.05185	0.008098	1e-5	1e-5	1e-5	6	117
PI_442307	Mexico	Calabaza de India	Cucurbita pepo	Vine. Fruits dark green, probably immature, cylindrical, 19cm long, 16cm diam. Rind 3cm thick. Placenta solid. Flesh lemon-yellow. Seeds immature.	NA	Landrace	South/Latin America	1e-5	0.856089	1e-5	0.09224	0.014681	0.002158	1e-5	0.034782	1e-5	1e-5	6	121
PI_442308	Mexico	Calabaza de India	Cucurbita pepo	Fruits green, white spotting, white at maturity, cylindrical, 16cm long, 14cm diam.	NA	Landrace	South/Latin America	1e-5	0.909161	1e-5	0.068636	1e-5	1e-5	0.022133	1e-5	1e-5	1e-5	6	137
PI_442309	Mexico	Calabaza de India	Cucurbita pepo	Fruits light green on white background, cylindrical, 15cm long, 14cm diam.	NA	Landrace	South/Latin America	1e-5	0.92837	1e-5	0.053026	1e-5	1e-5	1e-5	1e-5	0.018534	1e-5	6	102
PI_442310	Mexico	Calabaza de India	Cucurbita pepo	Fruits light green-mottled, white at maturity, cylindrical, 19cm long, 16cm diam.	NA	Landrace	South/Latin America	1e-5	0.961735	1e-5	0.014218	1e-5	1e-5	1e-5	0.023977	1e-5	1e-5	6	91
PI_532389	Mexico	Calabasa Tutume	Cucurbita pepo	Fruits fairly uniform, elongated obovate, 24cm long, 16cm in diameter, orange when mature, smooth, some with very slight ribs. Flesh pale yellow, 3-3.5cm thick. Eaten primarily when thick.	NA	Landrace	South/Latin America	1e-5	1e-5	1e-5	1e-5	1e-5	0.99991	1e-5	1e-5	1e-5	1e-5	10	5
PI_442339	Mexico	K792-266	Cucurbita pepo	NA	NA	Landrace	South/Latin America	1e-5	0.890499	1e-5	0.109421	1e-5	1e-5	1e-5	1e-5	1e-5	1e-5	6	124
PI_442314	Mexico	Calabaza de India	Cucurbita pepo	Fruits light green, white spots, short, cylindrical, 17cm long, 16cm diam.	NA	Landrace	South/Latin America	1e-5	0.743437	0.005228	0.080522	0.024427	0.146335	1e-5	1e-5	1e-5	1e-5	6	146
Ames_21651	Mexico	TWW 157	Cucurbita pepo	One pollination split into 2 seed lots.	NA	Cultivated material	South/Latin America	1e-5	0.98408	1e-5	1e-5	1e-5	1e-5	1e-5	1e-5	0.01584	1e-5	6	81
PI_438711	Mexico	WC 2300	Cucurbita pepo	Received as Cucurbita mixta.	NA	Landrace	South/Latin America	1e-5	0.410405	1e-5	0.123794	1e-5	0.228412	0.005795	0.060607	1e-5	0.170946	6	173
