accession_id	country	accession_name	taxonomy	narrative	cultivar_class	improvement_status	region	1	2	3	4	5	6	grp	pos
PI_271338	India	Indor	Cucurbita moschata	NA	NA	NA	Asia	0.414503	1e-5	0.585457	1e-5	1e-5	1e-5	5	51
PI_165995	India	KADU	Cucurbita moschata	Fruit subglobose, 10in in diameter, buff	NA	NA	Asia	0.174484	0.216716	0.569787	0.038993	1e-5	1e-5	5	57
PI_381820	India	P-25	Cucurbita moschata	NA	NA	NA	Asia	0.254975	1e-5	0.744985	1e-5	1e-5	1e-5	5	54
PI_381817	India	P-20	Cucurbita moschata	NA	NA	NA	Asia	1e-5	1e-5	0.99995	1e-5	1e-5	1e-5	5	64
PI_165561	India	KADU	Cucurbita moschata	NA	NA	NA	Asia	0.266693	1e-5	0.733267	1e-5	1e-5	1e-5	5	53
PI_381819	India	P-23	Cucurbita moschata	NA	NA	NA	Asia	1e-5	1e-5	0.99995	1e-5	1e-5	1e-5	5	65
Grif_5603	India	USM 109	Cucurbita moschata	NA	NA	NA	Asia	1e-5	1e-5	0.99995	1e-5	1e-5	1e-5	5	71
PI_212899	India	13474	Cucurbita moschata	NA	NA	NA	Asia	0.239324	1e-5	0.760636	1e-5	1e-5	1e-5	5	52
PI_381815	India	P-16	Cucurbita moschata	NA	NA	NA	Asia	0.35427	0.06331	0.37583	0.022969	0.16041	0.023211	5	45
PI_381814	India	P-15	Cucurbita moschata	NA	NA	NA	Asia	1e-5	1e-5	0.99995	1e-5	1e-5	1e-5	5	61
PI_267753	United States	G8754	Cucurbita moschata	Plants vigorous, midseason variety; fruit 22in long with 10in bulk and 8in neck, 10-20 grooves, tan netted, green, waxy; flesh 3in thick, orange. 3 large fruits per plant, often weighing over 100lbs.	NA	NA	North America	0.860707	1e-5	0.107988	0.031275	1e-5	1e-5	6	25
PI_201772	United States	NA	Cucurbita moschata	NA	NA	Wild material	North America	0.410486	0.24381	0.145585	0.193005	1e-5	0.007104	6	41
PI_358507	United States	GOLDEN CUSHAW	Cucurbita moschata	NA	NA	NA	North America	0.645858	0.298486	1e-5	0.007008	0.009214	0.039424	6	1
PI_267752	United States	G8753	Cucurbita moschata	Plants medium vigor, midseason variety leaf small; fruit 14in long with 6in bulb and 4in neck; light green, long, slender, smooth, curved neck; flesh orange; seed brown.	NA	NA	North America	0.774194	0.132951	1e-5	1e-5	0.032219	0.060616	6	13
PI_427213	United States	NA	Cucurbita moschata	Flattened at blossom end and tapers gradually to stem end, weight 2kg, brownish orange.	NA	NA	North America	0.702315	0.274324	1e-5	1e-5	0.023331	1e-5	6	8
Grif_15151	United States	Cow Pumpkin	Cucurbita moschata	"""Jack o'latern shaped"", solid green at first maturing to an orange tan, fairly good table quality, large seed cavity, thin fruit walls.  Probably polymorphic."	NA	Uncertain improvement status	North America	0.581539	0.289713	1e-5	1e-5	0.028178	0.10055	6	3
Grif_9457	United States	TWW 119	Cucurbita moschata	Shows good resistance to powdery mildew.	NA	NA	North America	0.364123	0.410494	1e-5	0.032446	0.037371	0.155556	6	28
PI_427214	United States	NA	Cucurbita moschata	Brittingham. Vine type. Fruit depressed globose, weight 2kg, brownish orange. Used for pies.	NA	NA	North America	0.628594	0.272864	1e-5	1e-5	0.031328	0.067193	6	2
PI_427212	United States	NA	Cucurbita moschata	Large Butternut Squash. Elongate cylindrical, curved, blossom end bulbous, 10cm diameter. Used for pies.	NA	NA	North America	0.689456	0.271774	1e-5	1e-5	0.03874	1e-5	6	7
PI_326320	United States	WHITE AFRICAN	Cucurbita moschata	Vine trailing; fruit white, 10 to 20 pounds. Good table quality; good winter keeper.	NA	NA	North America	0.99995	1e-5	1e-5	1e-5	1e-5	1e-5	6	11
PI_419137	China	NA	Cucurbita moschata	Sweet type	NA	NA	Asia	1e-5	1e-5	0.646447	0.353513	1e-5	1e-5	5	78
PI_419083	China	Mou Pan	Cucurbita moschata	NA	NA	NA	Asia	0.012565	1e-5	0.608696	0.365031	0.013688	1e-5	5	76
Grif_1583	China	FENG ZHEN FAN GUA	Cucurbita moschata	NA	NA	NA	Asia	0.1784	1e-5	1e-5	1e-5	1e-5	0.82156	1	242
PI_419202	China	NA	Cucurbita moschata	NA	NA	NA	Asia	1e-5	1e-5	0.666772	0.333188	1e-5	1e-5	5	79
