Iteration,Sample_name,Coverage,Difference
1,PI_364241,32.7080638206123,32.7080638206123
2,Ames_21650,48.154376886589,15.4463130659767
3,PI_181764,57.9344545062527,9.78007761966369
4,PI_614683,64.2949547218629,6.36050021561017
5,PI_357953,69.6162138852954,5.32125916343249
6,Ames_21644,73.2729624838292,3.65674859853384
7,PI_172873,75.9896507115136,2.71668822768437
8,PI_451851,78.1630012936611,2.17335058214745
9,PI_204694,79.9568779646399,1.79387667097883
10,PI_318826,81.4877102199224,1.53083225528248
11,PI_176551,82.7641224665804,1.27641224665801
12,PI_438699,83.9284174213023,1.16429495472188
13,PI_193502,84.9029754204398,0.974557999137545
14,PI_229531,85.7524795170332,0.849504096593392
15,PI_512188,86.5329883570505,0.780508840017262
16,PI_357948,87.2186287192755,0.685640362225044
17,PI_182198,87.8266494178525,0.608020698577022
18,PI_615120,88.3915480810694,0.564898663216937
19,PI_615144,88.9133247089263,0.521776627856852
20,PI_512799,89.4221647261751,0.508840017248772
21,PI_172875,89.8533850797758,0.431220353600665
22,PI_177377,90.2673566192324,0.413971539456625
23,PI_442306,90.6597671410091,0.392410521776654
24,PI_267759,91.0133678309616,0.353600689952515
25,PI_525173,91.3410952996981,0.327727468736541
26,PI_169451,91.6601983613627,0.319103061664563
27,PI_615096,91.9577404053471,0.297542043984421
28,PI_531318,92.2250970245796,0.267356619232459
29,PI_512802,92.492453643812,0.267356619232388
30,PI_169457,92.7511858559724,0.258732212160396
31,Ames_25701,92.9926692539888,0.241483398016385
32,PI_177370,93.2169038378611,0.224234583872345
33,Ames_25944,93.4325140146615,0.215610176800396
34,PI_512709,93.6481241914618,0.215610176800325
35,PI_615149,93.8378611470461,0.189736955584337
36,PI_357942,94.0189736955584,0.181112548512331
37,PI_175709,94.1914618369987,0.172488141440297
38,PI_614701,94.355325571367,0.163863734368263
39,PI_442295,94.5105648986632,0.155239327296215
40,PI_368592,94.6571798188875,0.146614920224252
41,PI_193499,94.8081069426477,0.150927123760198
42,PI_532354,94.9460974557999,0.137990513152218
43,PI_442293,95.0754635618801,0.129366106080212
44,PI_482592,95.1962052608883,0.120741699008207
45,PI_615141,95.3169469598965,0.120741699008207
46,PI_532389,95.4290642518327,0.112117291936187
47,PI_512185,95.5411815437689,0.112117291936173
48,PI_615147,95.653298835705,0.112117291936144
49,PI_176546,95.7567917205692,0.10349288486421
50,PI_172863,95.8602846054334,0.103492884864181
51,PI_534623,95.9637774902975,0.103492884864139
52,PI_442297,96.0672703751617,0.10349288486421
53,PI_357922,96.1621388529539,0.0948684777921613
54,PI_534635,96.257007330746,0.0948684777921045
55,PI_512813,96.3518758085382,0.0948684777921613
56,Ames_26888,96.4381198792583,0.0862440707200989
57,PI_165081,96.5243639499784,0.0862440707201415
58,PI_169424,96.6106080206986,0.0862440707201841
59,PI_615113,96.6968520914187,0.0862440707201131
60,PI_181763,96.7744717550668,0.0776196636481359
61,PI_368615,96.852091418715,0.0776196636481643
62,PI_169453,96.9210866752911,0.0689952565760734
63,PI_370466,96.9900819318672,0.0689952565760876
64,Ames_24950,97.0590771884433,0.0689952565761018
65,PI_212060,97.1194480379474,0.0603708495040962
66,PI_512186,97.1798188874515,0.0603708495040962
67,PI_379307,97.2401897369556,0.060370849504082
68,PI_169422,97.3005605864597,0.060370849504082
69,PI_534620,97.3609314359638,0.060370849504082
70,PI_534568,97.4213022854679,0.0603708495040678
71,PI_141660,97.481673134972,0.0603708495040678
72,PI_534632,97.533419577404,0.051746442432048
73,PI_534559,97.5851660198361,0.0517464424321332
74,PI_314806,97.6369124622682,0.051746442432119
75,PI_615146,97.6886589047003,0.0517464424321048
76,PI_512754,97.7404053471324,0.0517464424320764
77,PI_172857,97.7921517895645,0.0517464424320764
78,PI_615137,97.8352738249245,0.0431220353600423
79,PI_176545,97.8783958602846,0.0431220353600992
80,PI_534572,97.9215178956447,0.0431220353600708
81,PI_512757,97.9646399310047,0.0431220353600423
82,PI_174187,98.0077619663648,0.0431220353601134
83,PI_431582,98.0508840017249,0.043122035360085
84,PI_379324,98.094006037085,0.0431220353600565
85,PI_368597,98.137128072445,0.0431220353600281
86,PI_379314,98.1802501078051,0.0431220353600992
87,PI_172870,98.2147477360931,0.0344976282880509
88,PI_344357,98.2492453643812,0.0344976282880936
89,PI_169436,98.2837429926692,0.0344976282880509
90,PI_512192,98.3182406209573,0.0344976282881078
91,PI_615143,98.3527382492454,0.0344976282880651
92,PI_379312,98.3872358775334,0.0344976282880083
93,PI_222786,98.4217335058215,0.0344976282880793
94,Ames_26878,98.4562311341095,0.0344976282880225
95,PI_442331,98.4907287623976,0.0344976282880793
96,PI_612864,98.5252263906856,0.0344976282880509
97,PI_537560,98.5597240189737,0.0344976282880936
98,PI_442291,98.5942216472617,0.0344976282880509
99,PI_181757,98.6287192755498,0.0344976282881078
100,PI_438711,98.6545924967658,0.0258732212160453
101,PI_368595,98.6804657179819,0.0258732212160879
102,PI_512840,98.7063389391979,0.0258732212160311
103,PI_226511,98.732212160414,0.0258732212160595
104,PI_482593,98.75808538163,0.0258732212160169
105,PI_177369,98.7839586028461,0.0258732212160595
106,PI_175713,98.8098318240621,0.0258732212160027
107,PI_171636,98.8357050452781,0.0258732212160311
108,PI_512789,98.8615782664942,0.0258732212160737
109,PI_615110,98.8874514877102,0.0258732212160169
110,PI_615108,98.9133247089263,0.0258732212160595
111,PI_615092,98.9391979301423,0.0258732212160027
112,PI_171629,98.9564467442863,0.0172488141440255
113,PI_506443,98.9736955584304,0.0172488141440681
