,Iteration,Sample_name,Coverage,Difference
1,1,PI_494843,33.5116924296472,33.5116924296472
2,2,PI_458653,49.2271105826397,15.7154181529925
3,3,PI_357894,59.1557669441141,9.92865636147444
4,4,PI_458701,65.0416171224732,5.88585017835914
5,5,PI_500470,69.4609591755846,4.41934205311142
6,6,PI_458669,73.226317875545,3.76535869996037
7,7,PI_211990,76.1791518034086,2.95283392786362
8,8,PI_458673,78.5176377328577,2.33848592944911
9,9,PI_169404,80.4795877923107,1.96195005945305
10,10,PI_379298,82.0253666270313,1.54577883472061
11,11,PI_458672,83.3729686880698,1.34760206103846
12,12,PI_370456,84.4827586206897,1.10978993261985
13,13,PI_174823,85.4736424891003,0.990883868410577
14,14,PI_560947,86.3456202933016,0.871977804201322
15,15,PI_143278,87.1581450653983,0.812524772096737
16,16,PI_534550,87.9112168053904,0.753071739992109
17,17,PI_93034,88.5850178359096,0.673801030519229
18,18,PI_234612,89.179548156956,0.594530321046406
19,19,PI_178894,89.7344431232659,0.554894966309945
20,20,PI_526246,90.2497027348395,0.515259611573569
21,21,G_33181,90.764962346413,0.515259611573498
22,22,PI_458660,91.2405866032501,0.475624256837094
23,23,PI_349350,91.6765755053508,0.435988902100675
24,24,PI_357896,92.0332936979786,0.356718192627795
25,25,PI_178890,92.3900118906064,0.35671819262781
26,26,PI_135351,92.7070947284978,0.317082837891419
27,27,PI_368571,92.9845422116528,0.277447483155001
28,28,PI_165027,93.2619896948078,0.277447483154972
29,29,PI_181911,93.5394371779627,0.277447483154944
30,30,PI_178889,93.7772493063813,0.237812128418597
31,31,PI_482471,94.0150614347998,0.23781212841854
32,32,PI_120440,94.2528735632184,0.237812128418582
33,33,PI_458702,94.4906856916369,0.23781212841854
34,34,G_9187,94.7284978200555,0.237812128418597
35,35,PI_135363,94.9266745937376,0.198176773682121
36,36,PI_141637,95.1248513674197,0.198176773682135
37,37,G_23151,95.3230281411019,0.198176773682164
38,38,PI_560951,95.521204914784,0.198176773682079
39,39,PI_407385,95.6797463337297,0.158541418945688
40,40,PI_482523,95.8382877526754,0.158541418945688
41,41,G_31133,95.9968291716211,0.158541418945688
42,42,PI_518678,96.1553705905668,0.158541418945688
43,43,PI_141640,96.3139120095125,0.158541418945674
44,44,PI_318424,96.4724534284582,0.158541418945674
45,45,PI_482483,96.5913594926675,0.11890606420927
46,46,G_28472,96.7102655568767,0.118906064209241
47,47,PI_357872,96.829171621086,0.118906064209298
48,48,PI_165558,96.9480776852953,0.118906064209284
49,49,PI_141638,97.0669837495046,0.118906064209256
50,50,PI_534547,97.1858898137138,0.118906064209227
51,51,PI_532720,97.3047958779231,0.118906064209312
52,52,G_26105,97.4237019421324,0.118906064209284
53,53,G_23726,97.5426080063417,0.118906064209256
54,54,PI_137860,97.6615140705509,0.118906064209241
55,55,G_30407,97.7804201347602,0.118906064209312
56,56,PI_174181,97.8596908442331,0.0792707094728513
57,57,PI_368580,97.9389615537059,0.0792707094728087
58,58,G_27894,98.0182322631788,0.0792707094728655
59,59,PI_368567,98.0975029726516,0.0792707094728087
60,60,PI_458690,98.1767736821244,0.0792707094728513
61,61,PI_193500,98.2560443915973,0.0792707094728939
62,62,PI_512678,98.3353151010702,0.0792707094728513
63,63,PI_512797,98.414585810543,0.0792707094728087
64,64,PI_368576,98.4938565200159,0.0792707094728513
65,65,PI_143272,98.5731272294887,0.0792707094728087
66,66,PI_357907,98.6523979389616,0.0792707094728513
67,67,missing,98.7316686484344,0.0792707094728087
68,68,PI_318431,98.8109393579073,0.0792707094728655
69,69,G_30655,98.8902100673801,0.0792707094727945
70,70,PI_163227,98.9298454221165,0.0396353547364328
71,71,PI_656590,98.9694807768529,0.039635354736447
