,Iteration,Sample_name,Coverage,Difference
1,1,PI_364241,32.7206834066787,32.7206834066787
2,2,Ames_21650,48.1404780395202,15.4197946328415
3,3,PI_181764,57.908361377168,9.7678833376478
4,4,PI_614683,64.2548968849771,6.34653550780913
5,5,PI_357953,69.5789110363275,5.32401415135044
6,6,Ames_21644,73.2375528518423,3.65864181551476
7,7,PI_176551,75.9556475968591,2.71809474501678
8,8,PI_204694,78.181896626111,2.22624902925187
9,9,PI_318826,80.0414185865907,1.85952196047973
10,10,PI_438699,81.5428423505048,1.50142376391409
11,11,PI_171623,82.8501164897748,1.30727413926998
12,12,PI_176536,83.9804987488135,1.13038225903873
13,13,PI_615120,84.998705669169,1.01820692035554
14,14,PI_534567,85.8615928898093,0.862887220640303
15,15,PI_364240,86.5993614634567,0.737768573647415
16,16,PI_182198,87.2939856760721,0.694624212615437
17,17,PI_511973,87.9411510915523,0.647165415480231
18,18,PI_368592,88.5149710932781,0.573820001725807
19,19,PI_442316,89.0413322978687,0.526361204590557
20,20,PI_177377,89.520234705324,0.478902407455308
21,21,PI_357937,89.9516783156441,0.431443610320144
22,22,PI_274787,90.3572353093451,0.405556993700969
23,23,PI_482592,90.7455345586332,0.388299249288082
24,24,PI_438717,91.1208904996117,0.375355940978508
25,25,PI_288240,91.4531020795582,0.332211579946502
26,26,PI_615144,91.7637414789887,0.310639399430485
27,27,PI_615141,92.0571231340064,0.293381655017683
28,28,PI_357970,92.3332470446113,0.276123910604866
29,29,PI_179269,92.6007420830097,0.267495038398451
30,30,PI_512787,92.842350504789,0.241608421779318
31,31,PI_172872,93.0753300543619,0.232979549572903
32,32,PI_427095,93.2996807317284,0.224350677366459
33,33,PI_204698,93.5110881007852,0.211407369056829
34,34,PI_299574,93.7095521615325,0.198464060747284
35,35,PI_169457,93.8907584778669,0.181206316334439
36,36,PI_442310,94.063335921995,0.172577444128095
37,37,PI_357969,94.2272844939166,0.163948571921637
38,38,PI_518689,94.3912330658383,0.163948571921694
39,39,PI_512185,94.5551816377599,0.163948571921637
40,40,PI_179270,94.7018724652688,0.146690827508891
41,41,PI_418966,94.8485632927776,0.14669082750882
42,42,PI_532356,94.9866252480801,0.138061955302476
43,43,PI_615095,95.1246872033825,0.138061955302419
44,44,PI_615108,95.2541202864786,0.129433083096046
45,45,PI_512805,95.3749244973682,0.120804210889602
46,46,PI_141660,95.4957287082578,0.120804210889631
47,47,PI_379317,95.6079040469411,0.112175338683258
48,48,Ames_26888,95.7200793856243,0.112175338683201
49,49,PI_227299,95.8236258521011,0.103546466476828
50,50,PI_512776,95.927172318578,0.103546466476857
51,51,PI_508465,96.0220899128484,0.0949175942703846
52,52,PI_615147,96.1170075071188,0.094917594270413
53,53,PI_442339,96.2119251013892,0.0949175942704414
54,54,PI_172857,96.3068426956597,0.0949175942704841
55,55,PI_512188,96.3931314177237,0.0862887220640118
56,56,PI_165081,96.4794201397877,0.0862887220640403
57,57,PI_174187,96.5657088618518,0.0862887220640545
58,58,PI_169452,96.6433687117094,0.0776598498575822
59,59,PI_512785,96.721028561567,0.0776598498575964
60,60,PI_512813,96.7986884114246,0.0776598498576249
61,61,PI_614701,96.8763482612822,0.0776598498576391
62,62,PI_172868,96.9453792389335,0.0690309776512663
63,63,PI_357923,97.0144102165847,0.0690309776511953
64,64,PI_442297,97.0834411942359,0.0690309776512237
65,65,PI_267660,97.1438432996807,0.0604021054448225
66,66,PI_512754,97.2042454051255,0.0604021054448509
67,67,Ames_24950,97.2646475105704,0.0604021054448651
68,68,PI_532354,97.3250496160152,0.0604021054447941
69,69,PI_109486,97.38545172146,0.0604021054447941
70,70,PI_212004,97.4372249546984,0.0517732332384213
71,71,PI_357965,97.4889981879368,0.0517732332384355
72,72,PI_379312,97.5407714211753,0.0517732332384497
73,73,PI_532389,97.5925446544137,0.0517732332383787
74,74,PI_615116,97.6356890154457,0.0431443610319775
75,75,PI_512862,97.6788333764777,0.0431443610319917
76,76,PI_169438,97.7219777375097,0.0431443610320059
77,77,PI_615119,97.7651220985417,0.0431443610320201
78,78,PI_172874,97.8082664595737,0.0431443610320343
79,79,PI_512881,97.8514108206058,0.0431443610320486
80,80,PI_612862,97.8945551816378,0.0431443610319491
81,81,PI_169451,97.9376995426698,0.0431443610319775
82,82,PI_173686,97.9808439037018,0.0431443610319775
83,83,PI_442306,98.0239882647338,0.0431443610320059
84,84,PI_507886,98.0671326257658,0.0431443610320059
85,85,PI_171629,98.1016481145914,0.0345154888256332
86,86,PI_615151,98.136163603417,0.0345154888256332
87,87,PI_172863,98.1706790922426,0.0345154888256332
88,88,PI_357893,98.2051945810683,0.0345154888256616
89,89,PI_525171,98.2397100698939,0.0345154888255621
90,90,PI_406678,98.2742255587195,0.0345154888255763
91,91,PI_525173,98.3087410475451,0.0345154888255905
92,92,PI_314806,98.3432565363707,0.0345154888256047
93,93,PI_534623,98.3777720251963,0.0345154888256047
94,94,PI_525170,98.4122875140219,0.0345154888256189
95,95,PI_442321,98.4468030028475,0.0345154888256332
96,96,PI_370467,98.4726896194667,0.025886616619232
97,97,Ames_26875,98.4985762360859,0.025886616619232
98,98,PI_176965,98.5244628527052,0.0258866166192604
99,99,PI_615113,98.5503494693244,0.0258866166191609
100,100,PI_379324,98.5762360859436,0.0258866166191609
101,101,Ames_26873,98.6021227025628,0.0258866166191751
102,102,PI_379302,98.628009319182,0.0258866166191893
103,103,PI_257287,98.6538959358012,0.0258866166191893
104,104,PI_379311,98.6797825524204,0.0258866166191893
105,105,PI_357922,98.7056691690396,0.0258866166192036
