Iteration,Sample_name,Coverage,Difference
1,PI_357912,33.8249754178958,33.8249754178958
2,PI_475748,48.3939691904294,14.5689937725336
3,PI_500508,56.5552277941658,8.16125860373644
4,PI_458660,62.2418879056047,5.68666011143891
5,PI_162670,66.6338905276958,4.39200262209113
6,PI_357903,70.2064896755162,3.57259914782043
7,PI_141633,72.8941330711242,2.68764339560802
8,PI_169471,75.1720747295968,2.27794165847264
9,PI_458698,77.1878072763028,2.01573254670605
10,PI_136445,78.892166502786,1.70435922648316
11,PI_500458,80.3015404785316,1.40937397574562
12,PI_500446,81.579809898394,1.27826941986235
13,PI_222784,82.7597509013438,1.17994100294982
14,PI_458709,83.7758112094395,1.01606030809572
15,G_32229,84.6935431006227,0.917731891183251
16,PI_357896,85.5457227138643,0.852179613241603
17,PI_135353,86.3487381186496,0.803015404785327
18,PI_379298,87.0206489675516,0.671910848902016
19,PI_349347,87.6597836774828,0.639134709931199
20,PI_370452,88.2169780399869,0.557194362504077
21,PI_265558,88.774172402491,0.557194362504092
22,PI_500469,89.2985906260243,0.524418223533246
23,PI_458661,89.7902327105867,0.491642084562386
24,PI_141667,90.2818747951491,0.491642084562429
25,PI_414676,90.6751884627991,0.393313667649991
26,PI_223438,91.0357259914782,0.360537528679103
27,PI_458664,91.3962635201573,0.360537528679117
28,G_26542,91.7240249098656,0.327761389708314
29,PI_419080,92.0517862995739,0.3277613897083
30,PI_135368,92.3467715503114,0.294985250737469
31,G_23734,92.6417568010488,0.294985250737426
32,PI_143280,92.9203539823009,0.278597181252081
33,PI_500531,93.1825630940675,0.262209111766623
34,G_29313,93.4447722058342,0.262209111766651
35,G_30649,93.7069813176008,0.26220911176658
36,PI_500521,93.9364142903966,0.229432972795777
37,G_31133,94.1658472631924,0.229432972795792
38,PI_165001,94.3625040970174,0.19665683382496
39,G_21629,94.5591609308423,0.196656833824932
40,PI_458702,94.7558177646673,0.196656833825031
41,G_28224,94.9524745984923,0.196656833825003
42,PI_458688,95.1163552933464,0.163880694854143
43,PI_494839,95.2802359882006,0.163880694854186
44,PI_137861,95.4441166830547,0.163880694854129
45,G_23151,95.6079973779089,0.163880694854186
46,PI_245142,95.7391019337922,0.131104555883297
47,PI_318419,95.8702064896755,0.131104555883311
48,PI_368576,96.0013110455588,0.13110455588334
49,G_32304,96.1324156014421,0.131104555883354
50,PI_357907,96.2635201573255,0.131104555883354
51,G_26544,96.3946247132088,0.131104555883283
52,G_23732,96.5257292690921,0.131104555883297
53,PI_171617,96.6240576860046,0.0983284169124943
54,G_23727,96.7223861029171,0.0983284169124659
55,PI_368571,96.8207145198296,0.0983284169124659
56,G_30405,96.919042936742,0.0983284169124516
57,PI_135396,97.0173713536545,0.0983284169125369
58,PI_93034,97.115699770567,0.0983284169125227
59,PI_368583,97.2140281874795,0.0983284169125085
60,PI_368573,97.312356604392,0.0983284169125085
61,PI_379291,97.4106850213045,0.0983284169124943
62,PI_165027,97.509013438217,0.0983284169124801
63,PI_181751,97.5745657161586,0.0655522779416344
64,PI_500471,97.6401179941003,0.0655522779416913
65,PI_500515,97.705670272042,0.0655522779416629
66,PI_458683,97.7712225499836,0.065552277941606
67,PI_143281,97.8367748279253,0.0655522779416629
68,G_23729,97.9023271058669,0.0655522779416344
69,PI_349350,97.9678793838086,0.0655522779416913
70,PI_458662,98.0334316617502,0.0655522779416486
71,PI_223353,98.0989839396919,0.0655522779417055
72,PI_135370,98.1645362176336,0.0655522779416629
73,G_23449,98.2300884955752,0.0655522779416202
74,G_26704,98.2956407735169,0.0655522779416771
75,G_27743,98.3611930514585,0.0655522779416486
76,PI_181877,98.4267453294002,0.0655522779416913
77,G_29642,98.4922976073419,0.0655522779416486
78,PI_365106,98.5578498852835,0.0655522779416202
79,PI_135893,98.6234021632252,0.0655522779416629
80,PI_135387,98.6889544411668,0.0655522779416344
81,G_30655,98.7545067191085,0.0655522779416913
82,PI_135373,98.8200589970502,0.0655522779416486
83,PI_135355,98.8856112749918,0.065552277941606
84,G_23733,98.9511635529335,0.0655522779416629
85,G_29793,99.0167158308751,0.0655522779416344
