name,class
Black_Futsu,Japonica
Thai_Rai_Kaw_Tok,Japonica
Thai_Kang_Kob,Japonica
Kikuza,Japonica
Chirimen,Japonica
Violina_Rigosa,Neck
Seminole,Neck
PI_634982,Neck
PI_634704,Neck
PI_550690,Neck
PI_550694,Neck
Tromboncino,Neck
Greek_Sweet_Red,Neck
PI_550693,Neck
PI_550692,Neck
Burpee_Butterbush,Neck
PI_600843,Neck
PI_550689,Neck
PI_604505,Cheese
PI_604506,Cheese
Fairytale,Cheese
PI_442250,Calabaza
La_Estrella,Calabaza
PI_595436,Calabaza
