country	accession_id	accession_name	taxonomy	narrative	cultivar_class	improvement_status	region
Mexico	PI_442322	Calabaza de Manteca	Cucurbita pepo	Fruits light green, white spots, oval, 18cm long, 14cm diam.	NA	Landrace	South/Latin America
Mexico	PI_442325	Calabaza de Manteca	Cucurbita pepo	Fruits light green, lighter green mottling, cylindrical, 25cm long, 12cm diam.	NA	Landrace	South/Latin America
Mexico	PI_612862	20-3	Cucurbita pepo	Obloid, slightly ribbed, dark green, hard rind, 12.5 cm long, 15 cm wide, flesh unusually deep orange and thick.	NA	Cultivated material	South/Latin America
Mexico	PI_612863	20-4	Cucurbita pepo	Obloid and ribbed, green reticulated and spotchy, 13.5 cm long, 20 cm wide, rind hard, flesh pale orange.	NA	Cultivated material	South/Latin America
Mexico	PI_615120	Guiches (Guichayota)	Cucurbita pepo	Single fruit collection with 5381 (C. moschata); farily typical pepo.	NA	Landrace	South/Latin America
Mexico	PI_511977	Calabaza	Cucurbita pepo	Sown in June, harvested September/October. Fruit cooked as a sweet, seeds roasted or ground for sauces.	NA	Landrace	South/Latin America
Mexico	PI_511978	Calabaza	Cucurbita pepo	Sown in May, harvested in October. Cook mature flesh, toast or grind seeds for sauces.	NA	Landrace	South/Latin America
Mexico	PI_615123	Huitzayota	Cucurbita pepo	Mixed sample (seed from several fruit).	NA	Landrace	South/Latin America
Mexico	PI_438716	Huiche	Cucurbita pepo	Fruit obovate, slightly ribbed, mottled light and dark green. Peduncle not flared. Seeds slender, to 3cm long, tan. Received as Cucurbita mixta.	NA	Landrace	South/Latin America
Mexico	PI_511981	Calabaza	Cucurbita pepo	Sown in May, harvested in October/November. Prepare sweets from flesh, toast or grind seeds.	NA	Landrace	South/Latin America
Mexico	PI_511982	Calabaza	Cucurbita pepo	Sown in May/June, harvested in October/November. Cook mature flesh, toast or grind seeds.	NA	Landrace	South/Latin America
Mexico	PI_438823	Grandota Criolla	Cucurbita pepo	"NA"	NA	Landrace	South/Latin America
Mexico	PI_512185	Calabaza india	Cucurbita pepo	Single fruit, green-grey with pronounced ribs.	NA	Cultivated material	South/Latin America
Mexico	PI_512186	Calabaza india	Cucurbita pepo	Single fruit, green-grey with pronounced ribs.	NA	Cultivated material	South/Latin America
Mexico	PI_442292	Calabaza de India	Cucurbita pepo	Primitive plant.	NA	Landrace	South/Latin America
Mexico	PI_615118	GN 84-84	Cucurbita pepo	"NA"	NA	Cultivated material	South/Latin America
Mexico	PI_512190	Calabaza india	Cucurbita pepo	Single fruit long, large curved and ribbed.	NA	Cultivated material	South/Latin America
Mexico	PI_615132	P 5444	Cucurbita pepo	Only two fruits available, others (larger) were retained as source of seed for next year's planting.	NA	Uncertain improvement status	South/Latin America
Mexico	PI_615121	Guiches (Guichayota)	Cucurbita pepo	Single fruit collection from second stop in town with 5384 and 5386.	NA	Landrace	South/Latin America
Mexico	PI_615122	Guiches (Guichayota)	Cucurbita pepo	Single fruit collection from second stop in town with 5384 and 5385.	NA	Landrace	South/Latin America
Mexico	PI_442315	Calabaza de India	Cucurbita pepo	Fruits light green, mottled, cylindrical, 17cm long, 17cm diam.	NA	Landrace	South/Latin America
Mexico	PI_615124	Huitzayota	Cucurbita pepo	Single fruit sample.	NA	Landrace	South/Latin America
Mexico	PI_615125	Huitzayota	Cucurbita pepo	Single fruit sample.	NA	Landrace	South/Latin America
Mexico	PI_615126	P 5399	Cucurbita pepo	Collection of 3 fruits from lady; she selects next year's seed from largest fruits (did not want to sell largest).	NA	Uncertain improvement status	South/Latin America
Mexico	PI_615127	Tzolito	Cucurbita pepo	Series of 7 fruits taken from farm; small, multi-colored, a typical pepo; sown in March, harvested June.	NA	Landrace	South/Latin America
Mexico	PI_615128	Tzul	Cucurbita pepo	Two fruits, large, green-mottled; sown in March, harevested June/July; use flesh with sugar.	NA	Landrace	South/Latin America
Mexico	PI_532354	Calabacilla loca	Cucurbita pepo subsp. fraterna	Fruits 5, obloid to spheroid, 4.5-6.5cm in diameter, 2 still green with lighter green stripes and flecking, fading to orange. Rind smooth, moderately soft, 1 mm thick. Flesh extremely bitter. Seeds 7-9mm long, 4-6mm wide.	NA	Wild material	South/Latin America
Mexico	PI_532355	179	Cucurbita pepo subsp. fraterna	Fruits 8, obloid to spheroid, from green with lighter green stripes and flecking to almost completely bright orange with stripes 3.5-4.5cm diameter. Flesh extremely bitter. Rind smooth and moderately soft, 1 mm thick.	NA	Wild material	South/Latin America
