name,class
G_26704,Hubbard
G_26694,Buttercup
G_33181,Show
G_23449,Buttercup
G_32997,Hubbard
G_26705,Buttercup
PI_600834,Hubbard
G_26544,Hubbard
G_32227,Buttercup
G_30407,Kobocha
G_30409,Kobocha
G_30406,Kuri
G_30408,Kobocha
PI_224669,Buttercup
PI_601256,Show
G_11299,Show
G_26105,Buttercup
G_26542,Buttercup
G_28224,Kobocha
G_27743,Show
PI_325133,Kuri
G_32304,Hubbard
G_30405,Kuri
PI_234608,Australian
PI_234609,Australian
G_9187,Kuri
