country	accession_id	accession_name	taxonomy	improvement_status	cultivar_class	narrative	region
United States	PI_318426	Ames 717	Cucurbita maxima	Breeding	NA	Inbred selection. Vigorous, medium maturing, bush. Fruits many, oblate 5 by 7 to 8 inches, copper; 4.90 pounds; flesh 1 to 2 inches, orange.	North America
United States	G_22762	'Aristocat'	Cucurbita maxima	Cultivar	NA	NA	North America
United States	PI_318427	Ames 718	Cucurbita maxima	Breeding	NA	Inbred selection. Vigorous, medium maturing, bush. Fruits many, oblate 4 to 5 by 6 to 7.75 inches, copper; 4.47 pounds; flesh 1.5 inches, orange.	North America
United States	PI_318415	Ames 706	Cucurbita maxima	Breeding	NA	Inbred selection. Vigorous, medium maturing, bush. Fruits many, oblate 5 to 6 by 6 to 8 inches, orange or salmon; 3.75 pounds; flesh .75 to 1.5 inches, orange.	North America
United States	PI_318416	Ames 707	Cucurbita maxima	Breeding	NA	Inbred selection. Vigorous, medium maturing, bush. Fruits many, oblate 4.5 to 5.5 by 6.5 to 8 inches, orange or salmon; 4.75 pounds; flesh 1 to 1.5 inches, orange.	North America
United States	PI_318417	Ames 708	Cucurbita maxima	Breeding	NA	Inbred selection. Vigorous, medium maturing, bush. Fruits many, oblate 5 to 6.5 by 7.75 inches, orange or salmon; 4.20 pounds; flesh .75 to 1.5  inches, orange.	North America
United States	PI_318418	Ames 709	Cucurbita maxima	Breeding	NA	Inbred selection. Vigorous, medium maturing, bush. Fruits oblate 4 by 7 to 9 inches, dark green with light stripes; 3.20 pounds; flesh .5 to 1.25  inches, orange.	North America
United States	PI_601256	'Dills Atlantic Giant'	Cucurbita maxima	Cultivar	Show	NA	North America
United States	G_11299	'Giant Walloper'	Cucurbita maxima	Cultivar	Show	NA	North America
United States	PI_318421	Ames 712	Cucurbita maxima	Breeding	NA	Inbred selection. Vigorous, medium maturing, bush. Fruits many, oblate 4.5 to 6.5 to 8 inches, dark green; 3.56 pounds; flesh 1 inch, bright orange.	North America
United States	PI_656589	Quality	Cucurbita maxima	NA	NA	Info. from Harris 1959 cat. Splendid, high qlty squash. 103 days. Extra thick meat and fine flav. Attract. hrt shape means deeper flesh at the shldrs and the seed cavity is small. Dark olive grn w/a thin, hard rind. It has deep orange-clrd flesh very dry, sweet and fine grained. Med. sized frt (5-10 lbs.) Running vines set hvy crops. Good keeper. Quality is excell- ent for the home garden and for market.	North America
United States	PI_656590	Red Gold Banana	Cucurbita maxima	Cultivar	Banana	Lit. refer.-Amer. Veg. Grower Var. List, 12/68. Modified banana type squash, red gold-red skin; sweet yellow flesh.	North America
United States	G_26105	'Buttercup, Burgess Strain'	Cucurbita maxima	Cultivar	Buttercup	NA	North America
United States	G_26542	786 Emerald	Cucurbita maxima	Cultivar	Buttercup	NA	North America
United States	PI_318430	Ames 721	Cucurbita maxima	Breeding	NA	Male sterile C.  Buttercup type. Segregates (approximately) 1 normal to 1 male sterile. Vigorous, medium maturing, medium-sized vines. Fruits many, oblate turbinate 4.25 by 6 to 9 inches, dark green; 4.5 pounds; flesh .75 to 1.25 inches, orange.	North America
United States	PI_318431	Ames 722	Cucurbita maxima	Breeding	NA	NA	North America
United States	PI_318428	Ames 719	Cucurbita maxima	Breeding	NA	NA	North America
