country	accession_id	accession_name	taxonomy	narrative	cultivar_class	improvement_status	region
United States	Grif_9457	TWW 119	Cucurbita moschata	Shows good resistance to powdery mildew.	NA	"NA"	North America
United States	PI_634982	Waltham Butternut	Cucurbita moschata	"NA"	Neck	Cultivar	North America
United States	PI_604505	KENTUCKY FIELD	Cucurbita moschata	"Info. from Asgrow cat. No. 19 (1957) -- (NSSL application shows notation of ""obsolete""). Length in inches - 10-18. Dia. in inches - 13. 120 days. Widely used for canning and suitable for stock feed. Fruits variable in shape, but usually deeper than they are wide, tapered at ends, 10-15 lb. Rind smooth, dull orange-yellow, distinctly sutured, thin, hard. Flesh thick, coarse, deep yellow, sweet."	Cheese	Cultivar	North America
United States	PI_427214	NA	Cucurbita moschata	Brittingham. Vine type. Fruit depressed globose, weight 2kg, brownish orange. Used for pies.	NA	"NA"	North America
United States	PI_550693	PONCA CR (87-6)	Cucurbita moschata	Part of isogenic set derived from hand pollinator of 2 branches of a rare dimorphic plant in a field of Ponca Butternut. Produces mostly Crookneck type fruit. Only crookneck line that produces dimorphic and Crookneck F1 progeny when used to pollinate a stable butternut cultivar	Neck	Breeding material	North America
United States	PI_427212	NA	Cucurbita moschata	Large Butternut Squash. Elongate cylindrical, curved, blossom end bulbous, 10cm diameter. Used for pies.	NA	"NA"	North America
United States	PI_550692	PONCA BN (87-4)	Cucurbita moschata	Part of isogenic set derived from hand pollinator of 2 branches of a rare dimorphic plant in a field of Ponca Butternut. Relatively stable producer of butternut type fruit	Neck	Breeding material	North America
United States	PI_600843	BUNUTKIN	Cucurbita moschata	"NA"	Neck	Cultivar	North America
United States	PI_634704	HERCULES	Cucurbita moschata	Large butternut, thick neck, sometimes dumb-bell shape.  Tan skin, bright orange flesh; rather late.	Neck	Cultivar	North America
United States	PI_326320	WHITE AFRICAN	Cucurbita moschata	Vine trailing; fruit white, 10 to 20 pounds. Good table quality; good winter keeper.	NA	"NA"	North America
